ID,NOM,Coord X,Coord Y,Coord X Y,LAT,LONG
465,Circular txapa pintada gris 60 L.,416062,4572883,"(416062, 4572883)",41.30303952231972,1.997344770336965
466,Circular txapa pintada gris 60 L.,416057,4572894,"(416057, 4572894)",41.303138072303994,1.9972835354339686
467,Semicircular  txapa pintada gris 40 L.,416108,4572845,"(416108, 4572845)",41.30270206422832,1.997899408242642
468,Circular txapa pintada gris 60 L.,416080,4572788,"(416080, 4572788)",41.302185788454686,1.9975728559226542
469,Circular acer inox. 60 L.,416079,4572731,"(416079, 4572731)",41.301672320562375,1.9975687747088324
470,Circular acer inox. 60 L.,416084,4572720,"(416084, 4572720)",41.30157377038116,1.9976300077700682
471,Semicircular  txapa pintada gris 40 L.,416176,4572697,"(416176, 4572697)",41.301376186788,1.9987319482491253
472,Circular txapa pintada gris 60 L.,416207,4572797,"(416207, 4572797)",41.30228004564761,1.9990884135278628
473,Circular txapa pintada gris 60 L.,416249,4572870,"(416249, 4572870)",41.302941872867166,1.999579983398365
474,Circular txapa pintada gris 60 L.,416107,4572993,"(416107, 4572993)",41.30403490484709,1.9978670564093852
475,Circular txapa pintada gris 60 L.,416094,4572985,"(416094, 4572985)",41.303961501868436,1.997712892735849
476,Circular txapa pintada gris 60 L.,415962,4572937,"(415962, 4572937)",41.30351545664976,1.996142967959713
477,Circular txapa pintada gris 60 L.,415947,4572950,"(415947, 4572950)",41.30363097694265,1.99596201912904
478,Circular txapa pintada gris 60 L.,416022,4572994,"(416022, 4572994)",41.30403506788717,1.9968517109969717
479,Circular acer inox. 60 L.,416046,4573046,"(416046, 4573046)",41.304505897443825,1.9971311816990776
480,Circular txapa pintada gris 60 L.,416074,4573087,"(416074, 4573087)",41.30487807229591,1.9974599490856766
481,Circular txapa pintada gris 60 L.,416208,4573042,"(416208, 4573042)",41.30448671400719,1.9990666132032433
482,Circular txapa pintada gris 60 L.,416197,4573040,"(416197, 4573040)",41.30446755867111,1.99893550795454
483,Circular txapa pintada gris 60 L.,416176,4573053,"(416176, 4573053)",41.30458245996523,1.998682898968489
484,Circular txapa pintada gris 60 L.,416170,4573067,"(416170, 4573067)",41.30470792587863,1.998609307435028
485,Circular txapa pintada gris 60 L.,416150,4573069,"(416150, 4573069)",41.30472386017451,1.9983701568935526
486,Circular txapa pintada gris 60 L.,416136,4573090,"(416136, 4573090)",41.30491153895354,1.998200049445376
487,Circular txapa pintada gris 60 L.,416092,4573114,"(416092, 4573114)",41.30512311688697,1.9976712128402727
488,Circular txapa pintada gris 60 L.,416084,4573109,"(416084, 4573109)",41.30507725287957,1.9975763520330672
489,Circular txapa pintada gris 60 L.,416081,4573128,"(416081, 4573128)",41.30524806201225,1.997537899555843
491,Circular txapa pintada gris 60 L.,416053,4573140,"(416053, 4573140)",41.30535322540589,1.9972018161230027
492,Circular txapa pintada gris 60 L.,416013,4573141,"(416013, 4573141)",41.30535806845711,1.996723923832248
493,Circular txapa pintada gris 60 L.,416021,4573150,"(416021, 4573150)",41.30543995866788,1.9968182322287131
494,Circular txapa pintada gris 60 L.,415996,4573186,"(415996, 4573186)",41.305761585329165,1.9965146641181586
495,Circular acer inox. 60 L.,415978,4573198,"(415978, 4573198)",41.305867787270756,1.9962980159190404
496,Circular txapa pintada gris 60 L.,415973,4573176,"(415973, 4573176)",41.30566912625811,1.9962413350845396
497,Circular txapa pintada gris 60 L.,415895,4573252,"(415895, 4573252)",41.30634548232545,1.9952992023170464
498,Circular txapa pintada gris 60 L.,415912,4573223,"(415912, 4573223)",41.30608606975779,1.995506259678093
499,Circular txapa pintada gris 60 L.,415962,4573234,"(415962, 4573234)",41.30619035010261,1.9961019393011354
500,Circular txapa pintada gris 60 L.,415952,4573263,"(415952, 4573263)",41.30645049310331,1.9959784923091959
501,Circular txapa pintada gris 60 L.,415955,4573157,"(415955, 4573157)",41.305496130098476,1.996028969739474
502,Circular txapa pintada gris 60 L.,415934,4573158,"(415934, 4573158)",41.30550294841171,1.9957780101059177
503,Circular txapa pintada gris 60 L.,415987,4573137,"(415987, 4573137)",41.305319335730736,1.9964139360191238
504,Circular txapa pintada gris 60 L.,416037,4573119,"(416037, 4573119)",41.305162426395086,1.9970136129065714
505,Circular txapa pintada gris 60 L.,416061,4573105,"(416061, 4573105)",41.305038834604,1.9973021963960842
506,Circular txapa pintada gris 60 L.,416126,4573046,"(416126, 4573046)",41.30451421859375,1.9980866780649165
507,Circular txapa pintada gris 60 L.,416135,4573056,"(416135, 4573056)",41.30460521804121,1.9981927928586738
508,Circular txapa pintada gris 60 L.,416152,4573029,"(416152, 4573029)",41.304363812762986,1.998399557554162
509,Circular txapa pintada gris 60 L.,415916,4572994,"(415916, 4572994)",41.30402402717809,1.9955856881450431
510,Circular acer inox. 60 L.,415908,4573008,"(415908, 4573008)",41.30414928259808,1.9954882041005415
