ID,NOM,Fabricante,Coord X,Coord Y,Coord X Y,LAT,LONG
314,Neoromántico clásico de Santa_Cole,Santa_Cole,416589,4572548,"(416589, 4572548)",41.30007703432799,2.0036848947291617
315,Neoromántico clásico de Santa_Cole,Santa_Cole,416587,4572547,"(416587, 4572547)",41.30006782117214,2.0036611459767744
317,Neoromántico clásico de Santa_Cole,Santa_Cole,416619,4572644,"(416619, 4572644)",41.300944749786666,2.0040300270525333
319,Neoromántico clásico de Santa_Cole,Santa_Cole,416634,4572623,"(416634, 4572623)",41.30075716528133,2.0042120504623036
320,Neoromántico clásico de Santa_Cole,Santa_Cole,416644,4572608,"(416644, 4572608)",41.30062310237016,2.0043335358132635
321,Neoromántico clásico de Santa_Cole,Santa_Cole,416655,4572591,"(416655, 4572591)",41.300471129807214,2.004467237608358
325,Neoromántico clásico de Santa_Cole,Santa_Cole,416660,4572621,"(416660, 4572621)",41.3007418384153,2.0045228435609457
327,Neoromántico clásico de Santa_Cole,Santa_Cole,416666,4572613,"(416666, 4572613)",41.30067040688862,2.0045955974785
328,Neoromántico clásico de Santa_Cole,Santa_Cole,416656,4572606,"(416656, 4572606)",41.30060632917619,2.0044771260037635
329,Neoromántico clásico de Santa_Cole,Santa_Cole,416651,4572612,"(416651, 4572612)",41.300659851119754,2.0044165890256878
330,Neoromántico clásico de Santa_Cole,Santa_Cole,416648,4572617,"(416648, 4572617)",41.30070457323611,2.0043800750088474
331,Neoromántico clásico de Santa_Cole,Santa_Cole,416661,4572524,"(416661, 4572524)",41.29986832036639,2.00454807204543
332,Neoromántico clásico de Santa_Cole,Santa_Cole,416650,4572506,"(416650, 4572506)",41.299705068848574,2.0044191659371413
333,Neoromántico clásico de Santa_Cole,Santa_Cole,416608,4572451,"(416608, 4572451)",41.29920537695499,2.0039251036266488
334,Neoromántico clásico de Santa_Cole,Santa_Cole,416597,4572436,"(416597, 4572436)",41.29906914396945,2.0037957891791476
335,Neoromántico clásico de Santa_Cole,Santa_Cole,416587,4572423,"(416587, 4572423)",41.298951027026014,2.003678143825338
336,Neoromántico clásico de Santa_Cole,Santa_Cole,416632,4572443,"(416632, 4572443)",41.29913580570458,2.004212825904322
337,Neoromántico clásico de Santa_Cole,Santa_Cole,416634,4572447,"(416634, 4572447)",41.29917203796465,2.0042361634017456
338,Neoromántico clásico de Santa_Cole,Santa_Cole,416615,4572452,"(416615, 4572452)",41.299215106768116,2.004008565915239
339,Neoromántico clásico de Santa_Cole,Santa_Cole,416642,4572488,"(416642, 4572488)",41.29954212711659,2.004326088934357
340,Neoromántico clásico de Santa_Cole,Santa_Cole,416640,4572489,"(416640, 4572489)",41.29955092690554,2.0043020662965705
341,Neoromántico clásico de Santa_Cole,Santa_Cole,416640,4572487,"(416640, 4572487)",41.29953291409336,2.0043023402816886
342,Neoromántico clásico de Santa_Cole,Santa_Cole,416845,4572686,"(416845, 4572686)",41.301346342417666,2.006723424140606
343,Neoromántico clásico de Santa_Cole,Santa_Cole,416837,4572686,"(416837, 4572686)",41.301345517879845,2.0066278788585903
344,Neoromántico clásico de Santa_Cole,Santa_Cole,416854,4572701,"(416854, 4572701)",41.30148236607879,2.0068288627803628
345,Neoromántico clásico de Santa_Cole,Santa_Cole,416853,4572702,"(416853, 4572702)",41.301491269436475,2.006816782938739
346,Neoromántico clásico de Santa_Cole,Santa_Cole,416843,4572700,"(416843, 4572700)",41.30147222602655,2.0066976244137553
347,Neoromántico clásico de Santa_Cole,Santa_Cole,416839,4572695,"(416839, 4572695)",41.30142678170826,2.0066505350742854
348,Neoromántico clásico de Santa_Cole,Santa_Cole,415585,4573495,"(415585, 4573495)",41.30850164803293,1.9915628318932292
349,Neoromántico clásico de Santa_Cole,Santa_Cole,415603,4573511,"(415603, 4573511)",41.30864763324899,1.9917756111424234
350,Neoromántico clásico de Santa_Cole,Santa_Cole,415605,4573512,"(415605, 4573512)",41.30865684886013,1.9917993612620573
351,Neoromántico liviano de Santa_Cole,Santa_Cole,415618,4573543,"(415618, 4573543)",41.30893740597298,1.99195033815197
352,Neoromántico liviano de Santa_Cole,Santa_Cole,415621,4573546,"(415621, 4573546)",41.30896473887139,1.9919857554292573
353,Neoromántico liviano de Santa_Cole,Santa_Cole,415624,4573549,"(415624, 4573549)",41.30899207175909,1.992021172736123
354,Neoromántico liviano de Santa_Cole,Santa_Cole,415731,4573607,"(415731, 4573607)",41.309525626135624,1.9932911986727102
355,Neoromántico liviano de Santa_Cole,Santa_Cole,415747,4573619,"(415747, 4573619)",41.30963537386634,1.9934806499852875
356,Neoromántico liviano de Santa_Cole,Santa_Cole,415750,4573621,"(415750, 4573621)",41.30965369994158,1.9935162068088352
357,Neoromántico liviano de Santa_Cole,Santa_Cole,415770,4573634,"(415770, 4573634)",41.30977287137973,1.9937532989756601
358,Neoromántico liviano de Santa_Cole,Santa_Cole,415788,4573646,"(415788, 4573646)",41.30988282717119,1.993966641129423
359,Neoromántico liviano de Santa_Cole,Santa_Cole,415788,4573646,"(415788, 4573646)",41.30988282717119,1.993966641129423
360,Neoromántico liviano de Santa_Cole,Santa_Cole,415855,4573662,"(415855, 4573662)",41.310033921228396,1.9947647205944747
361,Neoromántico liviano de Santa_Cole,Santa_Cole,415859,4573661,"(415859, 4573661)",41.31002533213825,1.99481263775296
362,Neoromántico liviano de Santa_Cole,Santa_Cole,415857,4573662,"(415857, 4573662)",41.31003412986755,1.9947886099990755
363,Neoromántico liviano de Santa_Cole,Santa_Cole,415912,4573638,"(415912, 4573638)",41.309823712731834,1.995448886993184
364,Neoromántico liviano de Santa_Cole,Santa_Cole,415910,4573639,"(415910, 4573639)",41.309832510596095,1.9954248593967758
365,Neoromántico liviano de Santa_Cole,Santa_Cole,415914,4573637,"(415914, 4573637)",41.30981491486247,1.9954729145832069
366,Neoromántico liviano de Santa_Cole,Santa_Cole,415928,4573640,"(415928, 4573640)",41.30984339329577,1.995639725194801
367,Neoromántico liviano de Santa_Cole,Santa_Cole,415944,4573635,"(415944, 4573635)",41.309800028978,1.9958315309727481
368,Neoromántico liviano de Santa_Cole,Santa_Cole,415959,4573629,"(415959, 4573629)",41.30974755377983,1.9960115300287409
369,Neoromántico liviano de Santa_Cole,Santa_Cole,415959,4573629,"(415959, 4573629)",41.30974755377983,1.9960115300287409
370,Neoromántico liviano de Santa_Cole,Santa_Cole,415957,4573630,"(415957, 4573630)",41.30975635176283,1.9959875025338132
371,Neoromántico liviano de Santa_Cole,Santa_Cole,415961,4573629,"(415961, 4573629)",41.30974776215906,1.9960354193379417
372,Neoromántico liviano de Santa_Cole,Santa_Cole,415963,4573634,"(415963, 4573634)",41.30979300237018,1.9960586177661779
373,Neoromántico liviano de Santa_Cole,Santa_Cole,415992,4573625,"(415992, 4573625)",41.30971496592979,1.9964062561758693
374,Neoromántico liviano de Santa_Cole,Santa_Cole,415990,4573619,"(415990, 4573619)",41.30966071941729,1.9963831956635922
375,Neoromántico liviano de Santa_Cole,Santa_Cole,415987,4573619,"(415987, 4573619)",41.309660406955395,1.9963473617437257
376,Neoromántico liviano de Santa_Cole,Santa_Cole,415991,4573618,"(415991, 4573618)",41.30965181720031,1.9963952784330878
377,Neoromántico liviano de Santa_Cole,Santa_Cole,416004,4573624,"(416004, 4573624)",41.3097072092697,1.9965497300892319
378,Neoromántico liviano de Santa_Cole,Santa_Cole,416034,4573618,"(416034, 4573618)",41.30965629454075,1.9969088979452325
379,Neoromántico liviano de Santa_Cole,Santa_Cole,416048,4573616,"(416048, 4573616)",41.30963973904431,1.9970763989989972
380,Neoromántico liviano de Santa_Cole,Santa_Cole,416036,4573612,"(416036, 4573612)",41.309602464513375,1.996933615559169
381,Neoromántico liviano de Santa_Cole,Santa_Cole,416033,4573613,"(416033, 4573613)",41.3096111585931,1.996897643605138
382,Neoromántico liviano de Santa_Cole,Santa_Cole,416038,4573612,"(416038, 4573612)",41.30960267270065,1.996957504822156
383,Neoromántico liviano de Santa_Cole,Santa_Cole,416060,4573613,"(416060, 4573613)",41.30961396880434,1.9972201487159158
384,Neoromántico liviano de Santa_Cole,Santa_Cole,416063,4573607,"(416063, 4573607)",41.30956024276853,1.9972568106833175
385,Neoromántico liviano de Santa_Cole,Santa_Cole,416065,4573607,"(416065, 4573607)",41.30956045088856,1.9972806999332566
