X,Y,objectid,id,capacitat,residu,nom_barri,adress,streetview,globalid
417237.7084,4574633.1556,1220,553,1800,Orgànic,L'Eixample Centre,"Carrer del Dos de Maig, 56","http://maps.google.com/maps?layer=c&cbll=41.318960,2.011187&cbp=12,242.85,,0,-2",{15D85798-AD84-40F6-8BDA-7187114B7435}
417234.6335,4574636.3027,1221,554,4000,Rebuig,L'Eixample Centre,"Carrer del Dos de Maig, 56","http://maps.google.com/maps?layer=c&cbll=41.318960,2.011187&cbp=12,242.85,,0,-2",{0949BE41-7FB9-481F-B8FE-E6F6427836B9}
417362.1217,4575149.5519,1222,555,1800,Orgànic,El Ginestar,"Carrer del Salze, 15","http://maps.google.com/maps?layer=c&cbll=41.323940,2.012057&cbp=12,242.85,,0,-2",{F736C3B5-C0EF-43BA-8163-79CC4135C23D}
417361.0363,4575151.0316,1223,556,3200,Cartró,El Ginestar,"Carrer del Salze, 15","http://maps.google.com/maps?layer=c&cbll=41.323940,2.012057&cbp=12,242.85,,0,-2",{48975476-A40D-400E-887F-23A540D2EC27}
417355.6863,4575158.1191,1224,557,3200,Rebuig,El Ginestar,"Carrer del Salze, 15","http://maps.google.com/maps?layer=c&cbll=41.323940,2.012057&cbp=12,242.85,,0,-2",{DC61CEA9-7174-40B4-A795-76D9C63DF8C2}
417359.6989,4575152.8036,1225,558,2400,Vidre,El Ginestar,"Carrer del Salze, 15","http://maps.google.com/maps?layer=c&cbll=41.323940,2.012057&cbp=12,242.85,,0,-2",{A761F407-F97B-4EDD-B3B3-CEC397FAC354}
417358.3615,4575154.5755,1226,559,3200,Envasos,El Ginestar,"Carrer del Salze, 15","http://maps.google.com/maps?layer=c&cbll=41.323940,2.012057&cbp=12,242.85,,0,-2",{B0D62991-52EB-4F0D-805A-5BC3E1DC8C88}
417357.0238,4575156.3472,1227,560,3200,Rebuig,El Ginestar,"Carrer del Salze, 15","http://maps.google.com/maps?layer=c&cbll=41.323940,2.012057&cbp=12,242.85,,0,-2",{756199B6-5716-41EE-AC54-6571B2D585A8}
417452.3218,4574947.9153,1228,562,3500,Rebuig,La Montserratina,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321672,2.013339&cbp=12,242.85,,0,-2",{E725D5D8-E781-418D-BF01-F6EB98B6F886}
417453.9985,4574948.1677,1229,563,3500,Rebuig,La Montserratina,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321672,2.013339&cbp=12,242.85,,0,-2",{28D81F1A-59F3-4C8E-A989-2DF562450DD7}
417464.5046,4574948.9044,1230,564,1800,Orgànic,La Montserratina,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321672,2.013339&cbp=12,242.85,,0,-2",{998A2065-BBF1-4ECD-84B9-DCC485C6BF97}
417457.2054,4574948.5016,1231,565,3500,Envasos,La Montserratina,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321672,2.013339&cbp=12,242.85,,0,-2",{A660D31C-4691-4988-8F4D-0021F6CAF895}
417460.2336,4574948.6342,1232,566,3500,Cartró,La Montserratina,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321672,2.013339&cbp=12,242.85,,0,-2",{30FC16E9-F567-4439-B886-1CF167409E6F}
417455.7978,4574948.3533,1233,568,3500,Rebuig,El Ginestar,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321911,2.013691&cbp=12,242.85,,0,-2",{C3C94F0B-6997-4D0D-A151-486109DFA34C}
417458.6601,4574948.6039,1234,570,3500,Envasos,El Ginestar,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321911,2.013691&cbp=12,242.85,,0,-2",{6C2A5E2A-4B1D-4E10-9763-BF5A45B80C36}
417461.6011,4574948.7128,1235,572,3500,Cartró,El Ginestar,"Avinguda del Molí, 26","http://maps.google.com/maps?layer=c&cbll=41.321911,2.013691&cbp=12,242.85,,0,-2",{4944944C-E4E6-4EA2-B77B-8B0EE989C696}
